Wallet,Pending ORI,Pending JUMP,Formatted Pending ORI,Formatted Pending JUMP
0x0A099EAbD951d325B1fb9b8A6aD6d3b9DaA74316,400833513.31438076,80166702.66287616,4.0083351331438075e-10,8.016670266287615e-11
0x0a10d66b6F83Fd5Babae3f1274DF499BB1D75cF9,135162739570696520000,27032547914139304000,135.16273957069652,27.032547914139304
0x0A295B54962eDDeEe27e13D4d3a6393B4D84834B,400833916.31438076,80166783.26287615,4.0083391631438076e-10,8.016678326287615e-11
0x0a2a994b456e81048F9A4EE7F045A9843706c466,156691303188777240000,31338260637755450000,156.69130318877723,31.33826063775545
0x0a2d3Dd46E44AcEC0DA085268502880bB384bCC0,462793022959773000000,92558604591954600000,462.793022959773,92.5586045919546
0x0a44ffc3f2Ff3d07DF5D7249820AbFb30dbACBf0,400828125.31438076,80165625.06287615,4.0082812531438077e-10,8.016562506287615e-11
0x0A71e1628c18F83fF55414fb8A10A4f80022ed66,400854136.31438076,80170827.26287615,4.0085413631438077e-10,8.017082726287615e-11
0x0a82dFa18BE31Ae7e88F49070e7882FAe4FEd00b,400833110.31438076,80166622.06287615,4.0083311031438074e-10,8.016662206287615e-11
0x0ab1CfEC6E0eB44541a9139F412Ffc2247Da13BB,8549413265008127000,1709882653001625300,8.549413265008127,1.7098826530016253
0x0aBceea992c41e60a83b40aaA935558235408fB5,139776938090032140000,27955387618006426000,139.77693809003213,27.955387618006426
0x0Ac5dAd4CD3899bb8d12c329cef9B3cF6BBCf63b,400839073.31438076,80167814.66287616,4.0083907331438075e-10,8.016781466287616e-11
0x0ad2aa5A61af9dBe9AF85e83759a54175293c02c,400797738.31438076,80159547.66287616,4.0079773831438077e-10,8.015954766287616e-11
0x0AeC8500d367CBdc24E7d336Ce9035F6A2043037,400831821.31438076,80166364.26287615,4.008318213143808e-10,8.016636426287615e-11
0x0Afc2ef09b4fb7a4F311823d5D60434d354D98fc,400845598.31438076,80169119.66287616,4.0084559831438077e-10,8.016911966287616e-11
0x0b175Aa5d581Dc61993b438d237253A459c2F83F,135052556554855220000,27010511310971044000,135.05255655485522,27.010511310971044
0x0B46E658B8cd0eA7268fAe7138E8aBbB7F8b4BCa,1.6503516099392522e+21,330070321987850500000,1650.3516099392523,330.0703219878505
0x0b899c9736cf042C42f12B8314DbBb7b24C1c1aC,28574961470721230000,5714992294144246000,28.574961470721227,5.7149922941442455
0x0B99989d87eA6E39A9981A87120c2F8c10A53F06,778843625363032100000,155768725072606430000,778.8436253630321,155.76872507260643
0x0bB0f32843Bd53237dd957B2B3E6B7EE75631cDa,400847207.31438076,80169441.46287616,4.0084720731438076e-10,8.016944146287616e-11
0x0BB668C1Cca4f1b14DF32E58B970d1df3A62F336,254957143612455800,50991428722491160,0.2549571436124558,0.05099142872249116
0x0bC57683B02d71A7e5A462c6cE8aA9B1CD20380E,400802708.31438076,80160541.66287616,4.008027083143808e-10,8.016054166287616e-11
0x0bD617316A8878Ed69C2323982Dbb7B9CB76702e,208058839524577640000,41611767904915530000,208.05883952457765,41.61176790491553
0x0BDCf149c00bF8458CF8a1A7493661667D805A96,400854620.31438076,80170924.06287615,4.0085462031438077e-10,8.017092406287615e-11
0x0C0A0bF76153F18798fe4a2ff6D599523a7AFa9F,469821828974424400000,93964365794884880000,469.8218289744244,93.96436579488488
0x0c0E4AC4864c96515d84aABDaf40aE6376627aE1,78988056911787660000,15797611382357530000,78.98805691178765,15.79761138235753
0x0c125037feFF5611Fa12F0D5a6f9a50954B21540,89887039493134750000,17977407898626950000,89.88703949313475,17.97740789862695
0x0C380b293DeC3f825fdDc8683108a90D760B277F,400833029.31438076,80166605.86287615,4.0083302931438076e-10,8.016660586287615e-11
0x0c5d3a027dD6B72102D2FcC1024D817548ab8aeB,400842054.31438076,80168410.86287615,4.008420543143808e-10,8.016841086287615e-11
0x0C6529D0E2944C1794c9d984f61A0eDc0554DECC,400840846.31438076,80168169.26287615,4.0084084631438076e-10,8.016816926287615e-11
0x0c9192141e0f0E8eAD87794f11e890260af838A9,2309429423544583000,461885884708916600,2.309429423544583,0.4618858847089166
0x0c995B1283090E7dF3f67E947a22a07B62954C1a,3937960322005284400,787592064401056900,3.9379603220052846,0.7875920644010569
0x0CB341a1F19eE7E2788CE3E1170c056B8ECEbB69,7720583679717482000,1544116735943496400,7.720583679717483,1.5441167359434964
0x0ccAE29420A828036324436E248510bbd826BCD4,400843987.31438076,80168797.46287616,4.008439873143808e-10,8.016879746287616e-11
0x0ce096a6b5C10F365142b6bE31EF47619168AD45,2.282527964041911e+21,456505592808382200000,2282.5279640419108,456.5055928083822
0x0D5901ECAD0BC8786a9b6fa53A19CE465CcBA199,56059132839504300000,11211826567900860000,56.0591328395043,11.21182656790086
0x0d6dCc05c9C83EC4B4877430b7100DEF49B3e865,475507790623046200,95101558124609250,0.4755077906230462,0.09510155812460924
0x0d931813d012b287F8a889ca44AE15e2B153c3FB,632108479918787500000,126421695983757510000,632.1084799187876,126.4216959837575
0x0D96458976c7EcA323e29Aa6916f88400AC23fb9,400854782.31438076,80170956.46287616,4.0085478231438074e-10,8.017095646287616e-11
0x0d97C085DD366Fa4f7E1792d576C4c33F43431AC,475606928159322400000,95121385631864490000,475.6069281593224,95.12138563186448
0x0dC4d08380dEB59996fE5F0bff574C736E321cab,210140796038670850,42028159207734170,0.21014079603867084,0.042028159207734166
0x0Dc6d0250f88cE521A5f9Bf05B299C98cd9d9bfa,160993362277054220000,32198672455410844000,160.99336227705422,32.19867245541084
0x0dD44fe06E0D112F03A4AfEE81DE0E52337cA724,400833271.31438076,80166654.26287615,4.008332713143808e-10,8.016665426287615e-11
0x0DeFF4B771d4d80822Cb6737EeE21e6a831F47D3,1.1056557611527868e+21,221131152230557350000,1105.655761152787,221.13115223055735
0x0e024CdBA8377ACF2d83e23090e27f5F8F490497,8671075533168840000,1734215106633768000,8.671075533168839,1.7342151066337679
0x0e042fa2cC793EEc1e9181DCe1bd8D6f33240d6d,400831096.31438076,80166219.26287615,4.0083109631438076e-10,8.016621926287615e-11
0x0E216099d0792536F97B1ae3a2d095cfe7f43789,400837703.31438076,80167540.66287616,4.0083770331438075e-10,8.016754066287616e-11
0x0e3869e2fE5b9A997abb0ce4e5d8f84F7c543ff1,400853489.31438076,80170697.86287615,4.0085348931438075e-10,8.017069786287615e-11
0x0E3Cee79C2C20e1939deD1159F1D7F489deaeF98,400755124.31438076,80151024.86287615,4.0075512431438077e-10,8.015102486287614e-11
0x0e3D1d4556CFbB2e1f3D3Ca10c36B40771c66684,400843906.31438076,80168781.26287615,4.0084390631438075e-10,8.016878126287616e-11
0x0e5462bAe03E29e175c46011E2C0f7f6736906e2,8671028563389060000,1734205712677812000,8.67102856338906,1.7342057126778119
0x0e55420eE8e07328F29407C195cbbDa024952Cf5,400826042.31438076,80165208.46287616,4.008260423143808e-10,8.016520846287615e-11
0x0E6C9da650A276588fbFA7AeDF248c31ED565a18,400835125.31438076,80167025.06287615,4.008351253143808e-10,8.016702506287614e-11
0x0e7e4a17B79D18870D55E5C6245e8b08068aF5d0,70774313692946510000,14154862738589303000,70.77431369294652,14.154862738589303
